# glossary links — en
#
# Generated by lib/glossary/report.test.ts from content/. Reviewed by hand, then frozen: any
# content change that moves a link shows up here as a diff. Do not hand-edit — fix the prose or
# the entry's `match` / `link` / `link_except` in glossary.yaml and regenerate.
#
# 643 web marks · 67 of them also a PDF link · 111 linkable terms the book never links
#
# lesson   policy  term id                      context, with the marked words in «»
m17-l2   W       g-margin                     a leveraged position when its «margin» can no longer cover the loss. A forced close,…
m17-l2   W       g-stop-loss                  long «stop-losses»
m17-l2   W       g-liquidation-price          «liquidation prices» of leveraged longs
m17-l2   W       g-long                       liquidation prices of leveraged «longs»
m17-l2   W       g-short                      liquidation prices of leveraged «shorts»
m17-l2   W       g-swing-low                  …one is looking at the same chart. The obvious «swing low», the round number, the level that held twice …
m17-l2   W       g-candle                     a single «candle»
m17-l2   W       g-breakout                   …t and reverses. The overshoot is not a failed «breakout» — it is the pool being taken. The tell is the…
m17-l2   W       g-leverage                   One side crowds in with «leverage». Funding goes one-sided (from lesson 1), and …
m17-l2   W       g-spot                       A burst of «spot» buying lifts ETH to 3,000 and pokes above. Th…
m17-l2   W       g-trend                      …er buys the ETH move at 3,400 believing a new «trend» has started. But the fuel was forced buying f…
m17-l2   W       g-bid                        …y. You are buying precisely as the mechanical «bid» disappears, which makes you the liquidity the…
m17-l2   W       g-wick                       …rs are dense and go off on tiny moves — a ~1% «wick» can liquidate a 100× position, so the trigger…
m17-l2   W       g-trigger                    … a ~1% wick can liquidate a 100× position, so «the trigger» in phase 2 needs almost nothing.
m18-l1   W       g-market-cap                 …ion tokens circulate at $1.00 (a $500 million «market cap») and the schedule emits another 150 million o…
m18-l1   W       g-setup                      Here is the «setup» that catches beginners. A new token launches …
m18-l1   W       g-bid                        — 80 million tokens — and gets «bid» to
m18-l1   W       g-volume                     two and a half days of normal «volume»
m18-l1   W       g-breakout                   …ur technical analysis, not beside it. A clean «breakout», a supportive trend, a textbook setup — all o…
m18-l1   W       g-trend                      …not beside it. A clean breakout, a supportive «trend», a textbook setup — all of it can be
m18-l1   W       g-order-book                 The unlock hits a live «order book» at whatever hour it lands. There is no overni…
m18-l1   W       g-liquidation                … slow a slide — the same conditions that make «liquidation» cascades vicious make unlock dumps vicious.
m18-l1   W       g-cascade                    …e — the same conditions that make liquidation «cascades» vicious make unlock dumps vicious.
m34-l1   W       g-spot                       …n arbitrage in passing. The perp trades above «spot», so somebody sells the rich perp and buys the…
m34-l1   W       g-contract                   1 BTC of «contracts», at the same 60,000.
m34-l1   W       g-funding                    «funding» is positive, and positive funding means longs…
m34-l1   W       g-long                       …nding is positive, and positive funding means «longs» pay shorts
m34-l1   W       g-short                      …ositive, and positive funding means longs pay «shorts»
m34-l1   W       g-basis                      «basis»
m34-l1   W       g-premium                    — the perp's «premium» over spot — and the funding rate are one fact…
m34-l1   W       g-funding-rate               — the perp's premium over spot — and the «funding rate» are one fact seen twice, which
m34-l1   W       g-discount                   , at the same clock. If the perp swings to a «discount» — a crash, a wave of panic shorts (
m34-l1   W       g-liquidation                …one to burn into memory, and it is where m06, «liquidation», comes back.
m34-l1   W       g-margin                     positions, against the «margin» in their own account
m34-l1   W       g-maintenance-margin         …s computed per position, per account, against «maintenance margin», without regard to your intentions — applies …
m34-l2   W       g-open-interest-oi           That is m19's reading of «open interest» and funding, and m16's reading of a volatilit…
m34-l2   W       g-funding                    That is m19's reading of open interest and «funding», and m16's reading of a volatility squeeze, a…
m34-l2   W       g-squeeze                    …nd funding, and m16's reading of a volatility «squeeze», applied to the diary. A scheduled event tell…
m34-l2   W       g-tokenomics                 taught the «tokenomics» of this — circulating supply against fully di…
m34-l2   W       g-circulating-supply         taught the tokenomics of this — «circulating supply» against fully diluted value, and why a low fl…
m34-l2   W       g-fdv                        …diluted value, and why a low float with a big «FDV» is a promise of future supply. Here it is as …
m34-l2   W       g-unlock                     An «unlock» is
m34-l2   W       g-market-cap                 Size it against the book, not against the «market cap».
m34-l2   W       g-depth                      …mber; what matters is that number next to the «depth» (
m34-l2   W       g-contract                   ). So why do dated «contracts» and options expiries move the perp?
m34-l2   W       g-spot                       A dated contract converges to «spot» at settlement, and everything built on the di…
m34-l2   WP      g-carry                      …t on the difference between it and the perp — «carry trades», calendar spreads, the whole of
m34-l2   W       g-spread                     …ween it and the perp — carry trades, calendar «spreads», the whole of
m34-l2   W       g-basis                      The «basis» re-anchors
m34-l2   W       g-maker                      The market «makers» on the other side of options positions hold h…
m34-l2   W       g-volume                     when «volume» spikes
m34-l2   W       g-liquidation-price          … stop order — if you placed one — and by your «liquidation price» if you did not.
m34-l2   W       g-custody                    … the venue, and both are claims on a company. «Custody» risk is not just about theft; it is about acc…
m34-l2   W       g-liquidation                The exchange's «liquidation» engine does not go down when the app does. Yo…
m34-l2   W       g-maintenance-margin         … does. Your position is being marked and your «maintenance margin» is being checked whether or not you can log i…
m34-l2   W       g-position-size              rather than living in your head, and for the «position size» that survives a move you cannot react to.
m34-l2   W       g-delta-neutral              stated once more: a «delta-neutral» position whose legs sit on a venue you cannot…
m19-l1   W       g-margin                     …top, not the size of the position and not the «margin» you post to open it.
m19-l1   WP      g-daily-stop                 «daily stop»
m19-l1   W       g-atr                        … where the idea is invalidated, never at "1.5 «ATR»" because a multiple said so. But a stop can b…
m19-l1   W       g-timeframe                  of the «timeframe» you entered on —
m19-l1   W       g-liquidation-price          … is that it reaches your stop instead of your «liquidation price». The arithmetic above hands you both honest a…
m19-l1   W       g-leverage                   …er confusion in this whole course is that the «leverage» selector
m19-l1   W       g-notional                   , a «notional» of
m19-l1   W       g-liquidation                Where «liquidation» sits relative to your stop.
m19-l1   W       g-fee                        , plus «fees»). What you lost is
m19-l1   W       g-setup                      A «setup» whose target sits three stop-distances away i…
m19-l1   WP      g-win-rate                   — «win rate» against payoff — rather than by whether the l…
m19-l1   W       g-payoff                     — win rate against «payoff» — rather than by whether the last trade happe…
m19-l1   W       g-altcoin                    A 10–15% move in a day is ordinary for an «altcoin» and would be a once-a-decade shock in a blue-…
m19-l1   W       g-cascade                    …n a calm chart is not automatically safe in a «cascade», which is the practical reason to sit well un…
m19-l1   WP      g-portfolio-risk             «Portfolio risk»
m19-l2   W       g-long                       bets those tickets represent. Ten «longs» on ten coins that all move together is one be…
m19-l2   W       g-notional                   «notional» = 100 ÷ 0.10 = 1,000 USDT per position.
m19-l2   W       g-candle                     …elated, they arrive together, inside a single «candle».
m19-l2   W       g-narrative                  …ependent — each one pumps or dumps on its own «narrative», its own listing, its own influencer. That is…
m19-l2   W       g-drawdown                   In a «drawdown», crypto correlations snap toward +1:
m19-l2   W       g-slippage                   …t filled at −10%, you are filled lower, after «slippage». Each position then loses
m19-l2   W       g-margin                     If those positions share one «margin» pool (cross-margin), a correlated drop draws …
m19-l2   W       g-liquidation                «liquidation»
m19-l2   W       g-cascade                    … that looked independent can fail as a single «cascade».
m20-l1   W       g-timeframe                  … early, because almost everything else — your «timeframe», your fee bill, even your sleep — falls out o…
m20-l1   W       g-fee                        …almost everything else — your timeframe, your «fee» bill, even your sleep — falls out of it.
m20-l1   W       g-breakout                   a day trader takes a morning «breakout» at 09
m20-l1   W       g-setup                      …to tell the styles apart — not how clever the «setup» looks, and not which coin you happen to be tr…
m20-l1   W       g-spread                     «spread»
m20-l1   W       g-bid                        (the gap between the best «bid» and the best ask, which you give up when you …
m20-l1   W       g-ask                        (the gap between the best bid and the «best ask», which you give up when you take liquidity) a…
m20-l1   W       g-win-rate                   higher «win rate» just to break even
m20-l1   W       g-funding                    «Funding» tracks the time you hold.
m20-l1   W       g-perpetual-future           «perpetual futures»
m20-l1   W       g-long                       , «longs» and shorts exchange a small payment called
m20-l1   W       g-short                      , longs and «shorts» exchange a small payment called
m20-l1   W       g-contract                   an ordinary futures «contract» expires, and that settlement date is what dra…
m20-l1   W       g-spot                       …ment date is what drags its price back toward «spot». A perpetual never expires, so it needs anoth…
m20-l1   W       g-taker                      …t — and hand the same move to each style. The «taker» fee is
m20-l1   W       g-position-size              stop and your «position size» have to do the watching for you
m20-l1   W       g-maker                      …s is where the size is: desks staffed, market «makers» quoting tightly, macro news landing. Their
m20-l1   W       g-range                      The weekend «range» and the Monday sweep.
m20-l1   W       g-sweep                      The weekend range and the Monday «sweep».
m20-l1   W       g-trend                      …ume ranges — no institutional flow to drive a «trend», so price coils — and traders put their order…
m20-l1   W       g-volume                     …between 59,400 and 60,600 all weekend on thin «volume». Sunday at 04
m20-l1   W       g-wick                       …it. Monday morning real volume arrives, price «wicks» down to 59,100 — through the range low, sweep…
m20-l1   W       g-candle                     m08-l2 says this for a single «candle»: a spectacular wick in a quiet book is a liqu…
m20-l1   W       g-rejection                  … in a quiet book is a liquidity vacuum, not a «rejection». Generalise it to every signal you use — a br…
m20-l1   W       g-slippage                   … fast reflexes and clean execution; costs and «slippage» matter enormously, and the emotional churn is…
m20-l2   W       g-candle                     One 4-hour «candle»
m20-l2   W       g-volume                     «volume»
m20-l2   WP      g-delta                      …away who was pressing and in what order — the «delta» OHLCV cannot carry. Here, a higher-frame cand…
m20-l2   W       g-wick                       …e same stretch is two or three candles with a «wick» into the level and a body that never closed b…
m20-l2   W       g-body                       …hree candles with a wick into the level and a «body» that never closed beyond it. Same level, same…
m20-l2   W       g-timeframe                  … it usually gets taught as mysticism. "Higher «timeframes» always win" is not a law of markets. There is…
m20-l2   W       g-trend                      You find a «trend» on the lower frame that is a pullback on the …
m20-l2   W       g-pullback                   You find a trend on the lower frame that is a «pullback» on the higher one.
m20-l2   W       g-higher-low-hl              The 15-minute chart shows a textbook advance: «higher lows», higher highs, a clean sequence anyone would …
m20-l2   W       g-higher-high-hh             … chart shows a textbook advance: higher lows, «higher highs», a clean sequence anyone would call an uptren…
m20-l2   W       g-long                       's ladder, drawn on a fast chart). You «go long». What you did not look at is the 4-hour chart…
m20-l2   W       g-lower-high-lh              …ounce inside a structure that is still making «lower highs», and which the sellers who own that structure…
m20-l2   W       g-lower-low-ll               — a leg of some 16%, made of lower highs and «lower lows», which is what a downtrend is. Then the last …
m20-l2   W       g-range                      …s that matter. If the answer is "no bias" — a «range», a chart doing nothing — that is a complete a…
m20-l2   W       g-setup                      you have found a «setup» you like is timeframe shopping with extra ste…
m20-l2   W       g-swing-low                  — the «swing low» the lower frame just made — and the position …
m21-l1   W       g-order-book                 …not a detail; it is where your plan meets the «order book».
m21-l1   W       g-bid                        … live list of everyone else's resting orders: «bids» (offers to buy) stacked below the current pri…
m21-l1   W       g-market-order               «market order»
m21-l1   W       g-taker                      «taker»
m21-l1   W       g-limit-order                «limit order»
m21-l1   W       g-maker                      «maker»
m21-l1   W       g-ask                        Worked example. You want to buy 1 BTC and the «best ask» is
m21-l1   W       g-fee                        … than makers, sometimes rebating makers. That «fee» gap is small per trade and large over hundred…
m21-l1   W       g-trigger                    …tely exaggerated in one respect: it separates «the trigger» from the limit far enough to tell them apart …
m21-l1   W       g-long                       Worked example: you «go long» at
m21-l1   W       g-liquidation                «liquidation»
m21-l1   W       g-margin                     …rcibly closing a leveraged position when your «margin» runs out. A stop-loss is you deciding to leav…
m21-l1   W       g-perpetual-future           On «perpetual futures» you can hold a long or a short, and an order …
m21-l1   W       g-position-size              makes the exchange cap it at your «position size» and discard the excess, so the worst case is …
m21-l1   W       g-altcoin                    book, common in small «altcoins» or at 3 a.m., has little resting size, so eve…
m21-l1   W       g-contract                   10 «contracts»
m21-l1   W       g-spot                       On «spot» you can only sell what you hold, so an oversi…
m22-l1   W       g-r-multiple                 «R-multiples»
m22-l1   W       g-position-size              …R instead of USDT, it does not depend on your «position size» — same idea, portable units.
m22-l1   W       g-fee                        …an the formula says, because every trade pays «fees» (and, in futures, funding). A payoff that bre…
m22-l1   W       g-funding                    …cause every trade pays fees (and, in futures, «funding»). A payoff that break-evens on paper loses mo…
m22-l1   W       g-drawdown                   …ve; quitting in the middle of it locks in the «drawdown» and forfeits the recovery the maths was about…
m22-l1   W       g-candle                     …— no closing bell, no weekend, always another «candle». That is precisely what makes it dangerous fo…
m22-l1   W       g-setup                      specific «setup»
m22-l1   W       g-fomo                       … every marginal trade taken out of boredom or «FOMO» is a lower- or negative-expectancy trade mixe…
m23-l1   W       g-long                       You «go long» BTC at 60,000 with your stop at 59,400 — a pl…
m23-l1   W       g-liquidation                «liquidation»
m23-l1   W       g-leverage                   …s in a row feel like skill. So you raise your «leverage» and size, because you are
m23-l1   W       g-variance                   A handful of results is dominated by «variance», but the mind refuses to see it that way. It …
m23-l1   W       g-position-size              «position size» is a fixed function of account risk — the sam…
m23-l1   W       g-candle                     Price is running without you. Every «candle» you sit out feels like money walking away, an…
m23-l1   W       g-setup                      …y went up. You end up buying a feeling, not a «setup», and arriving exactly where the earlier buyer…
m23-l1   W       g-timeframe                  The four are universal, but your «timeframe» (see the trading-styles module) decides which…
m23-l1   W       g-scalping                   «Scalping»
m23-l1   W       g-day-trading                «Day trading»
m23-l1   W       g-swing-trading              «Swing trading»
m23-l1   W       g-margin                     , your «margin» cushion is about
m24-l1   W       g-confluence                 …ave learned the pieces separately: structure, «confluence», the reaction at a level, sizing from a stop,…
m24-l1   W       g-expectancy                 … the reaction at a level, sizing from a stop, «expectancy». A trade is those pieces assembled into one u…
m24-l1   W       g-higher-high-hh             …art BTC is in a clean uptrend — a sequence of «higher highs» and higher lows — and it has just pulled back…
m24-l1   W       g-higher-low-hl              …lean uptrend — a sequence of higher highs and «higher lows» — and it has just pulled back after a push to…
m24-l1   W       g-pullback                   . A «pullback» inside an uptrend is the one thing we want: a…
m24-l1   W       g-trend                      …s the one thing we want: a chance to join the «trend» at a better price, with the trend itself on o…
m24-l1   W       g-range                      …decides whether there is a trade at all. In a «range» or a downtrend this same setup would be a dif…
m24-l1   W       g-timeframe                  …came off is itself part of the method. Nested «timeframes» (m03-l2) and the timeframe-per-style choice (…
m24-l1   W       g-rejection                  . In this trade the «rejection» candle below is a
m24-l1   W       g-candle                     . In this trade the rejection «candle» below is a
m24-l1   W       g-wick                       …e, and the stop is measured off that candle's «wick».
m24-l1   W       g-swing-high                 prior «swing high»
m24-l1   W       g-resistance                 that broke on the way up (old «resistance» becomes support), it is the
m24-l1   W       g-support                    …t broke on the way up (old resistance becomes «support»), it is the
m24-l1   W       g-ema                        rising 50-«EMA»
m24-l1   W       g-leverage                   …ant across every trade regardless of price or «leverage»; reverse it — pick a size, then find a stop t…
m24-l1   W       g-take-profit                Partial «take-profits» — a style choice, honestly priced.
m24-l1   W       g-payoff                     : the free runner cost 0,7R of this trade's «payoff». Cutting winners short systematically lowers …
m24-l1   WP      g-journal                    system, and the «journal» (m27-l2) is the only instrument that can comp…
m24-l1   W       g-pnl                        if realised «PnL» for the day reaches −X% of the account, I sto…
m24-l1   W       g-liquidation                «liquidation»
m24-l1   W       g-volume                     … books where 60.000 can be wicked hard on low «volume» — another reason the stop and the size, not y…
m24-l2   W       g-setup                      The «setup»
m24-l2   W       g-confluence                 — what you saw (context, level, «confluence») and why it was a trade.
m24-l2   W       g-position-size              measuring in R strips out «position size» and account size, so a hundred trades become …
m24-l2   W       g-slippage                   . It has no real «slippage» and, more importantly, no real fear: risking …
m24-l2   W       g-drawdown                   …is the losing trader's reflex, and it turns a «drawdown» into a blown account. Size follows proven edg…
m24-l2   W       g-leverage                   … to validate — but the same 24/7 access, high «leverage», and feed full of other people's wins push ha…
m24-l2   W       g-funding                    …mit again: because crypto's real slippage and «funding» costs and overnight gaps (m20 unlocks, m19-l2…
m24-l2   W       g-unlock                     …age and funding costs and overnight gaps (m20 «unlocks», m19-l2 liquidity) are absent on demo, treat …
m33-l1   W       g-expectancy                 handed you a number: «expectancy», the average result of one trade under your r…
m33-l1   W       g-win-rate                   You wrote down a «win rate» and an average payoff, multiplied them out an…
m33-l1   W       g-payoff                     You wrote down a win rate and an average «payoff», multiplied them out and got an answer, but n…
m33-l1   W       g-position-size              Entry, stop, target, «position size», what invalidates the setup — on paper, in wo…
m33-l1   W       g-setup                      …, target, position size, what invalidates the «setup» — on paper, in words a stranger could follow,…
m33-l1   W       g-trendline                  's redrawn «trendline»: a line that gets adjusted until it fits will…
m33-l1   W       g-candle                     Advance the chart one «candle» at a time and decide with what is on screen a…
m33-l1   W       g-journal                    …the reason, the outcome in R. A backtest is a «journal» of trades that did not cost anything, and it …
m33-l1   W       g-rsi                        … and the results are mediocre. So you adjust. «RSI» 14 becomes RSI 11 because that catches the Ma…
m33-l1   W       g-volume                     …that catches the March move. You add "only if «volume» is above the 20-bar average". You add "but no…
m33-l1   W       g-stop-limit                 Your «stop-limit» does not fill (
m33-l1   W       g-spread                     ); you cross a wider «spread» than the backtest assumed; slippage on the en…
m33-l1   W       g-slippage                   …oss a wider spread than the backtest assumed; «slippage» on the entry eats a fifth of the edge; fundin…
m33-l1   W       g-funding                    …ippage on the entry eats a fifth of the edge; «funding» accumulates on the swing holds. A backtest th…
m33-l1   W       g-fee                        …s on the swing holds. A backtest that ignores «fees» and slippage is not conservative, it is wrong…
m33-l1   W       g-drawdown                   …unt as evidence that the system is broken — a «drawdown» deeper than the worst the backtest produced, …
m25-l1   W       g-candle                     … read so far comes from one source: the OHLCV «candle». Open, high, low, close, volume — five number…
m25-l1   W       g-volume                     …ce: the OHLCV candle. Open, high, low, close, «volume» — five numbers per period. Trend and range, l…
m25-l1   W       g-trend                      …low, close, volume — five numbers per period. «Trend» and range, levels, moving averages, RSI, MACD…
m25-l1   W       g-range                      …, volume — five numbers per period. Trend and «range», levels, moving averages, RSI, MACD, volume c…
m25-l1   W       g-moving-average             … numbers per period. Trend and range, levels, «moving averages», RSI, MACD, volume confirmation: every one of…
m25-l1   W       g-rsi                        …od. Trend and range, levels, moving averages, «RSI», MACD, volume confirmation: every one of them…
m25-l1   W       g-macd                       …rend and range, levels, moving averages, RSI, «MACD», volume confirmation: every one of them is ar…
m25-l1   W       g-contract                   …000, both have a 0.2% range, both trade 5,000 «contracts». In the first, buyers were the impatient side…
m25-l1   W       g-maker                      «maker»
m25-l1   W       g-taker                      «taker»
m25-l1   W       g-bid                        …the asking price was taker-buy and one at the «bid» was taker-sell. That estimate is decent and n…
m25-l1   WP      g-cvd                        m30 — «CVD».
m25-l1   W       g-divergence                 … a whole session into a running line, and the «divergence» between that line and price. This one you wil…
m25-l1   W       g-order-book                 m31 — the «order book».
m25-l1   W       g-depth                      The resting orders themselves: «depth», walls, imbalance. Taught conceptually.
m25-l1   W       g-wall                       The resting orders themselves: depth, «walls», imbalance. Taught conceptually.
m25-l1   W       g-imbalance                  The resting orders themselves: depth, walls, «imbalance». Taught conceptually.
m25-l1   W       g-premium                    m32 — «premium» between venues.
m25-l1   W       g-footprint                  m33 — «footprint» charts and volume profile.
m25-l1   W       g-volume-profile             m33 — footprint charts and «volume profile».
m25-l1   WP      g-absorption                 «absorption»
m25-l1   W       g-spring                     «spring»
m25-l1   W       g-support                    and its test — a stab below «support» that recovers — is the story of selling being…
m25-l1   W       g-oscillator                 …entum refuses to confirm — is a pattern in an «oscillator» computed from price. m30 runs the identical l…
m25-l1   W       g-confluence                 The habit stays what it was in m14: «confluence». Order flow is another lens, and a good one. …
m25-l1   W       g-spread                     … is not a sign of being right. Takers pay the «spread» and, on a perp, often the higher fee; a great…
m25-l1   W       g-fee                        …y the spread and, on a perp, often the higher «fee»; a great deal of taker flow is retail market …
m25-l1   W       g-market-order               …her fee; a great deal of taker flow is retail «market orders», stop-losses firing, and liquidations being f…
m25-l1   W       g-stop-loss                  …t deal of taker flow is retail market orders, «stop-losses» firing, and liquidations being force-closed. …
m25-l1   W       g-liquidation                …retail market orders, stop-losses firing, and «liquidations» being force-closed. Frequently the
m26-l1   W       g-delta                      A single period's «delta» tells you who was pressing during that period…
m26-l1   W       g-candle                     …r's aggression tells you about as much as one «candle» does. What makes delta a tool you can read is…
m26-l1   W       g-accumulation               That «accumulation» is
m26-l1   W       g-volume                     — cumulative «volume» delta. It is the single most useful order-flo…
m26-l1   W       g-taker                      Take each period's delta — «taker» buy volume minus taker sell volume — and keep…
m26-l1   W       g-trend                      …ne looks and behaves like a price series — it «trends», it makes higher highs and lower lows, it con…
m26-l1   W       g-higher-high-hh             …ves like a price series — it trends, it makes «higher highs» and lower lows, it consolidates. That is deli…
m26-l1   W       g-lower-low-ll               …series — it trends, it makes higher highs and «lower lows», it consolidates. That is deliberate: it mean…
m26-l1   W       g-higher-low-hl              …idea from block C works on it. A CVD making a «higher low» is read the same way a price making a higher …
m26-l1   W       g-range                      …rence: a huge volume bar with almost no price «range», so
m26-l1   W       g-oscillator                 …lesson is for, and it is m12's logic with the «oscillator» swapped out.
m26-l1   W       g-divergence                 Bullish CVD «divergence».
m26-l1   W       g-lower-high-lh              «lower high»
m26-l1   W       g-contract                   …e selling has dominated the session by 18,800 «contracts». Price bounces, rolls over, and grinds to a
m26-l1   W       g-bid                        …make a new low, sellers must overcome resting «bids»; if the bids keep absorbing, the sellers exha…
m26-l1   W       g-spring                     «spring»
m26-l1   W       g-support                    is a stab below «support» that recovers, and you can only label it a sp…
m26-l1   W       g-wick                       price comes back inside — live, that same «wick» is indistinguishable from the start of a genu…
m26-l1   W       g-confluence                 This does not make the spring certain — it is «confluence» (m14), one more independent lens agreeing. Bu…
m26-l1   W       g-spot                       Perps and «spot» tell different stories.
m26-l1   W       g-liquidation                … CVD is leveraged, reflexive flow, heavy with «liquidations» and stops. Spot CVD is closer to someone actu…
m26-l1   W       g-timeframe                  «Timeframe» changes the reading.
m26-l1   W       g-imbalance                  …hape across a session's hourly bars is a real «imbalance». Read CVD at the timeframe you intend to trad…
m27-l1   W       g-order-book                 . m02 introduced the «order book» early on, as part of learning what an exchang…
m27-l1   W       g-absorption                 …ading properly, because the book is where the «absorption» of the last module physically lives.
m27-l1   W       g-limit-order                The order book is the list of unexecuted «limit orders» at every price, on both sides:
m27-l1   W       g-bid                        «bids»
m27-l1   W       g-spread                     «spread»
m27-l1   W       g-candle                     …price — and a moment later it is different. A «candle» is a record of the past. A book is a photogra…
m27-l1   W       g-taker                      …sting orders relate to each other directly: a «taker»'s market order eats into the resting book, pr…
m27-l1   W       g-market-order               …ders relate to each other directly: a taker's «market order» eats into the resting book, price level by pr…
m27-l1   W       g-volume                     the mechanism by which price moves up. «Volume» is the record of that consumption; the book i…
m27-l1   W       g-depth                      «Depth»
m27-l1   W       g-slippage                   «slippage»
m27-l1   W       g-ask                        …e total resting quantity on the bid side with «the ask» side within some band around price — say 0.5%…
m27-l1   W       g-resistance                 …that configuration. That is a statement about «resistance» to movement, not a prediction.
m27-l1   W       g-funding                    …Read imbalance the way m19 taught you to read «funding»: as a
m27-l1   W       g-maker                      Market «makers» earn the spread by keeping resting orders on …
m28-l1   W       g-basis                      «basis»
m28-l1   W       g-spot                       : the gap between a perpetual and its own «spot» price, and how a sustained premium reads as c…
m28-l1   W       g-blockchain                 Moving coin between venues takes «blockchain» confirmations — minutes, sometimes much longe…
m28-l1   W       g-fee                        «Fees» at every step.
m28-l1   W       g-long                       …e X is at a premium, institutions are buying, «go long»" skips every step that matters. You have not …
m28-l1   W       g-funding                    …eady happened. It is a flow reading, and like «funding» in m19, it is most informative at extremes an…
m28-l1   W       g-stablecoin                 …ere premiums blow out, the local rate and the «stablecoin»'s own peg are the things most likely to be wo…
m29-l1   W       g-candle                     on the horizontal axis: one «candle» per period, one volume bar per period, one CV…
m29-l1   W       g-volume                     …e horizontal axis: one candle per period, one «volume» bar per period, one CVD value per period. Thi…
m29-l1   W       g-cvd                        …le per period, one volume bar per period, one «CVD» value per period. This last module of the blo…
m29-l1   W       g-order-book                 Like m31, the «order book», this lesson is
m29-l1   W       g-ask                        chart (also called a cluster or «bid/ask» chart) takes a single candle and breaks it op…
m29-l1   W       g-body                       …gle candle and breaks it open. Instead of one «body» and two wicks, each price level
m29-l1   W       g-wick                       …d breaks it open. Instead of one body and two «wicks», each price level
m29-l1   W       g-range                      that candle's «range» gets a row, and each row shows how much trade…
m29-l1   W       g-taker                      …ws how much traded there — usually split into «taker» buy volume and taker sell volume at that exac…
m29-l1   W       g-delta                      …at ate most of the effort. Notice this is the «delta» of m29, but resolved
m29-l1   W       g-rotation                   applies the same «rotation» to a longer stretch — a session, a week, an e…
m29-l1   W       g-histogram                  …l volume traded at each price as a horizontal «histogram» beside the chart. Tall bars are prices where …
m29-l1   W       g-support                    Why this is an upgrade on "«support» and resistance".
m29-l1   W       g-resistance                 Why this is an upgrade on "support and «resistance»".
m29-l1   W       g-order-flow                 … belief that finer data means more certainty. «Order flow», the book, footprints: each is a genuine upgr…
m29-l1   W       g-imbalance                  … one moment of one candle, and countless such «imbalances» resolve into nothing. Footprint reading is a …
m30-l1   W       g-sweep                      …aught, under other names: liquidity pools and «sweeps» in
m30-l1   W       g-spring                     , the «spring» and absorption in
m30-l1   W       g-absorption                 , the spring and «absorption» in
m30-l1   W       g-change-of-character        , the «change of character» in
m30-l1   W       g-role-reversal              , «role reversal» and support-as-a-
m30-l1   WP      g-liquidity-void             , the «liquidity void» in
m30-l1   W       g-candle                     did to the named Japanese «candle» patterns: it maps each name onto a mechanic p…
m30-l1   W       g-fibonacci                  takes towards «Fibonacci» and
m30-l1   W       g-range                      …rd for word, m09's buyer absorbing inside the «range».
m30-l1   W       g-order-book                 …bservation. Nobody announces anything and the «order book» shows nothing; what is being reasoned is that…
m30-l1   W       g-support                    , like every «support» in this course (
m30-l1   W       g-pullback                   …ng, and the candles before it are an ordinary «pullback» of the kind every trend is full of. This is t…
m30-l1   W       g-trend                      …it are an ordinary pullback of the kind every «trend» is full of. This is the costliest error in th…
m30-l1   W       g-wick                       …specting — that is the break. And it is not a «wick» poking through: what decides is the body, as …
m30-l1   W       g-retest                     …o happen, needing the same close and the same «retest» you would want anywhere else.
m30-l1   W       g-imbalance                  Two things an «imbalance» is
m30-l1   W       g-higher-high-hh             taught you the ladder — «higher highs» and higher lows — and named the break that
m30-l1   W       g-higher-low-hl              taught you the ladder — higher highs and «higher lows» — and named the break that
m30-l1   W       g-lower-low-ll               , the first «lower low» in an uptrend.
m30-l1   W       g-basis                      «basis»
m30-l1   W       g-liquidation-price          "Stops and «liquidation prices» cluster just under an obvious low, so a move …
m30-l1   W       g-order-flow                 draws around «order flow» and
#
# Never linked in the book: the term's first occurrence in reading order fell in a lesson it
# points back at, which spends its one slot. Correct, not a bug — it is still a web tooltip.
#   g-accumulation
#   g-aggressor
#   g-altcoin
#   g-ask
#   g-atr
#   g-backtest
#   g-basis
#   g-blockchain
#   g-body
#   g-bollinger
#   g-break-even-win-rate
#   g-candle
#   g-capitulation
#   g-cash-and-carry
#   g-cex
#   g-change-of-character
#   g-choch
#   g-circulating-supply
#   g-cross-margin
#   g-custody
#   g-day-trading
#   g-death-cross
#   g-delta-neutral
#   g-depth
#   g-dex
#   g-discount
#   g-distribution
#   g-dom
#   g-dominance
#   g-drawdown
#   g-ema
#   g-emission
#   g-engulfing
#   g-euphoria
#   g-expectancy
#   g-fair-value-gap
#   g-fakeout
#   g-false-break
#   g-fdv
#   g-fear-greed
#   g-forward-testing
#   g-golden-cross
#   g-golden-zone
#   g-hidden-divergence
#   g-histogram
#   g-initial-margin
#   g-inverse-contract
#   g-isolated-margin
#   g-keltner
#   g-last-price
#   g-limit-order
#   g-liquidity-grab
#   g-liquidity-map
#   g-long
#   g-macd
#   g-maintenance-margin
#   g-mark-price
#   g-markdown
#   g-market-cap
#   g-market-order
#   g-markup
#   g-max-supply
#   g-moving-average
#   g-multi-timeframe
#   g-narrative
#   g-ohlc
#   g-order-block
#   g-origin-zone
#   g-oscillator
#   g-overbought
#   g-overfitting
#   g-oversold
#   g-perpetual-future
#   g-poc
#   g-r-multiple
#   g-realized-pnl
#   g-reduce-only
#   g-regular-divergence
#   g-rejection
#   g-revenge-trading
#   g-risk-budget
